,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow,h_compliance_005y,h_compliance_010y,h_compliance_015y,h_compliance_020y,h_compliance_025y,h_compliance_050y,h_compliance_120y,h_landholder_020y,h_landholder_120y,h_receptor_005y,h_receptor_010y,h_receptor_020y,h_receptor_050y,h_receptor_120y,q_mineinflow_005y,q_mineinflow_010y,q_mineinflow_015y,q_mineinflow_020y
real_0032,27.160463149761487,1.6261680909544083,32.0,36451.480464135944,40.69623519572408,29.444137917193157,20.28800283257716,18.716155284914375,33.16654693665696,44.78079907492028,45.745426065747786,40.14166062435361,41.82221892686864,41.62654084461033,41.06730513828297,40.215485631225434,41.72122034674033,41.83525716653416,12770.679957176677,31582.07108755865,39486.31909939141,35686.605246650455
real_0034,28.054846203191808,2.403102684258606,33.0,35759.929495575954,40.53762254789838,28.95758387721261,19.51235467657179,17.76140637680917,32.18113013603462,44.58738507598243,45.6681827396379,39.60701698303101,41.74991080347743,41.57999072034813,40.89596626519739,39.45560286076173,41.67543502662611,41.828528398589874,12702.70607956166,31142.892340294406,38748.08239746177,34913.7679013377
real_0035,28.012871644569643,2.100545239217702,36.0,34416.37584846663,40.609019403406585,29.094936315960673,19.616601090896364,17.892184107786683,31.944753080110097,44.40313334118883,45.78851476744715,39.871254520283905,41.82116537846162,41.61344247350015,40.88748745943806,39.79488931372989,41.69744180122326,41.88790500609094,12010.089734100302,29495.667698121917,36945.71189493853,33381.31368725205
real_0036,28.374806569068486,2.29858791525303,35.0,36445.45124850812,40.46341559689175,28.97559084781279,19.46352302414128,17.247980278699483,31.099546518533167,44.16696022561144,45.50629709820266,39.75933471626462,41.70733172494227,41.53214202683207,40.89496884303352,39.485182806202495,41.62713079353865,41.77723194821298,12680.915485000229,31139.59266232961,38628.72189630259,35120.27408914773
real_0037,27.238720696189663,1.7551207808238871,35.0,35765.65384444329,40.55381408815834,29.34062126368557,20.040566847045806,18.550536777817246,32.293391424002934,44.405611656953276,45.64244184041819,39.61670738958657,41.89452444203165,41.61023321975599,41.0060204701153,40.08884421771101,41.68750764446978,41.835153330793204,12809.742091718883,31529.04385871169,39501.6385686093,35102.321231582624
real_0038,27.78585895045645,2.2173524738993535,33.0,35572.27410364521,40.528234956394115,29.047810687880776,19.7352875957937,18.053251064360907,31.990930905787117,44.61542095428157,45.71476710296252,39.754015800312516,41.7866985853809,41.57988296191923,40.91397379734693,39.6216206536688,41.689953272392245,41.831457277458625,12720.671049910434,30938.54273650642,38242.641854122456,34654.650819628834
real_0039,27.760781627056744,1.387273265295569,39.0,31484.283364192284,40.89679300620151,29.66756121364718,20.413659667945918,18.426517702683427,31.36702644039241,44.366395251836636,46.03320699887744,40.40506989200749,41.69924530259547,41.58667457743982,41.11631124585335,40.38887504017323,41.6002297718264,41.764788891206074,11724.847880995629,27606.06431519803,34063.32831086277,30608.127848200624
real_0040,27.1283594522591,1.6659079661049958,33.0,34675.14101091628,40.51216139330508,29.18761214110189,20.238020777873448,18.72902986680928,32.58350624667632,44.65831205670737,45.714680162445845,40.18699947176422,41.71801109665831,41.54828211351391,40.96203594401416,40.12449639804553,41.65114421507229,41.782283246728326,12728.62210010118,30254.250516835207,37314.14485384918,33772.53934502838
real_0041,28.41118543564138,4.179361565460773,37.0,38994.28646448039,40.6540796227834,28.948618516872273,19.501018021657227,17.700684127022086,31.877265213615537,44.49731200266136,46.01956664276128,38.48914146538928,41.94802383694577,41.6259751548479,40.604097128966394,37.86384291280267,41.78754463010832,42.035078431212135,14342.605798811966,34712.87341755162,42274.71701494754,37757.12885762804
real_0042,27.498521596485098,1.5790348965872525,39.0,30307.519570439385,41.032825192628756,29.723047046803245,20.37518898553631,18.69198411306033,31.744092964552213,44.29099001600547,46.072221446316306,40.13089065252324,41.854107065778905,41.64978704607334,41.1166179617866,40.27704391192036,41.65610370755381,41.849311368468385,11119.5249841201,27097.558337717463,33439.26245509825,29475.027276742898
real_0045,28.162355154300364,1.8268363824743403,35.0,35718.47645812845,40.538918019464546,29.026791268156092,19.667652780792846,17.775424405297855,31.237818221788267,44.505160235370184,45.796722765601444,39.99453493135,41.752937004479534,41.58152830739377,40.959921975182255,40.00272358118872,41.651443388066795,41.81242425973501,13021.440202812479,30990.66632353757,38104.703815113615,34706.37630326294
real_0046,27.553320959466237,2.035733980464144,32.0,35571.33379363526,40.4967252797008,29.04745444902359,19.952492174180314,18.46620346617954,32.64438604154078,44.854797466909325,45.85798832987007,40.07811384254458,41.76343667785166,41.57753778042361,40.93217712142605,39.81948885133011,41.715726457695524,41.8446594491296,12963.308563605246,30672.90749238569,38106.09302074632,34767.83030441407
real_0047,27.830407925710663,2.608846748718534,36.0,37307.02813829978,40.690195349836415,29.11056639983674,19.54203247209005,18.046519236777275,32.02379381107215,44.36523497472633,45.75486277886205,39.44379162222155,41.893577890442174,41.578489087082815,40.76157106392068,39.2977393421286,41.719581881968224,41.897314710975344,13460.492580699558,33731.4190709725,41934.145652350504,36439.170716386405
real_0048,24.10156094510987,2.0740680742382196,42.0,28061.744416587208,41.36608181179449,31.866865010434164,23.347003233137148,21.40609871082324,31.198126910747636,43.33648216602172,45.419643788581894,39.71690403678398,41.79987173906808,41.616842077516644,40.96068431243009,39.79342234700127,41.55763929086434,41.84225770138021,10106.778994287966,25496.97358775729,31908.365143833627,27209.1801676827
real_0049,27.461120240692726,2.218846040147284,35.0,35283.486754871876,40.76877591486694,29.45379090494782,20.174528828564636,18.597742327590513,32.41995326931736,44.66458308441087,45.943336025106156,39.88211141654824,41.90788682954712,41.663089568028,40.90506329453574,39.75032975014928,41.77110850017728,41.96073230668019,12923.125039822924,31344.039342428274,38958.0043561225,34494.84507306805
real_0050,29.02150788223458,3.3501118293827687,35.0,37603.33251675278,40.59958690008616,28.92773279858066,19.01983082653498,17.142216147011034,31.686896473491373,44.705232145647244,46.06438248875594,39.29452811384083,41.87249760862438,41.59891002432892,40.73425954965482,38.617625001047436,41.76909868273575,41.96002474554435,13792.112170220262,33264.18131811313,41644.004423920676,36611.96095909644
real_0053,27.511508922417676,1.4861535267312647,33.0,35820.30501652275,40.62205248449572,29.181611967716663,19.830196124569124,18.38849684133902,32.54125019321758,44.66435588715314,45.73233302291962,40.201858037384675,41.65768166786694,41.542925387608605,41.02489626384196,40.25417081918917,41.62131311397791,41.731834055157506,12765.285787165789,31521.39915781869,39651.04861318284,35217.09785123391
real_0054,27.269009209428408,1.9661631301962075,32.0,35716.0155132488,40.68198678503015,29.360724671974136,19.979321659967212,18.620990341168895,32.27131706470825,44.697826706382415,45.78510705372777,39.83398003748798,41.79013800122971,41.60215568695209,40.97118402864224,39.878842857943596,41.708345932417245,41.83919643422159,13059.080883467424,32014.586593544027,39723.75862128455,34993.066226799034
real_0056,27.080843432796247,1.7003363182719653,36.0,33485.3569854275,40.77413871490742,29.536994643239794,20.505773387641696,18.98792695109866,32.444539428244816,44.5763134758706,45.93367387445919,40.131027603007844,41.833612700273136,41.65610279197429,41.07994504619938,40.18001291821554,41.706537345738596,41.870535489732816,12176.051501577149,29301.76877131188,36038.37536446392,32683.499180241964
real_0057,27.499584659907697,1.369640188282638,37.0,31104.086719648913,40.719269164714106,29.370887139502038,19.924551374008292,18.500120488398878,31.482620694656735,44.31204435143884,45.86696656850471,40.229636365517855,41.75045593054656,41.60092580951132,41.14138750653047,40.414107475873806,41.622461151021405,41.772885250918655,11718.32106846163,28308.0298016936,35030.302340712195,30489.164864973958
real_0058,27.67745099802026,2.3823102625676995,39.0,34480.347427207955,40.912738936121436,29.715683569081616,20.418132410138096,18.23464550788343,31.60515810800675,44.122991302221635,45.761437748689026,39.34847495442811,41.955602889733576,41.62704331965049,40.82557903353851,39.55704415999059,41.700106832129066,41.92683039000155,11790.994856993697,29392.2401410894,36720.953315762614,33386.517309347444
real_0059,27.745686540672427,1.4000356385669477,33.0,36606.957053458675,40.46479947406598,29.029334723107144,19.732754508014576,18.082052535599676,32.248409630900014,44.609079755608256,45.68539724666966,39.97778767962133,41.73209411691955,41.55322313130066,41.06251930688632,40.34344717817465,41.63429075772386,41.736819098654635,12982.76120810821,31556.684295076062,39196.37812188169,35679.594320237724
