parnme,n_realizations,mean,std,min,p05,p50,p95,max
pp_main_022,89,-0.004355149991487601,0.35537694966145383,-1.039118499828326,-0.5772038135279776,0.006116172894484684,0.5382663669018658,0.8072112460640681
pp_main_023,89,-0.013967420633485815,0.36868486913367965,-0.8011085343575434,-0.6018256126716459,0.014656654841585917,0.5909259285987841,0.6814343196163377
pp_main_024,89,-0.08607393220524122,0.3543655834288345,-0.7621942481145918,-0.6923887623783103,-0.05412493127786137,0.42175058508698704,0.7829142808500855
pp_main_025,89,-0.022763360062676274,0.3660238544705245,-0.9960511880938628,-0.5942130816133903,-0.059069645195212336,0.5312162342440603,0.724250502865891
pp_main_026,89,-0.05954020304935761,0.34008196312255423,-0.8102643615367033,-0.6124082345278197,-0.09038297559393499,0.5727109948829068,0.789165871017119
pp_main_027,89,-0.09251101077745583,0.3459162502254147,-0.9887727832985469,-0.72137002805452,-0.06596633998989118,0.5046656714323879,0.7309328546396413
pp_main_028,89,0.10879467667527438,0.3076124849260329,-0.6997377955959043,-0.3644908728770043,0.10230409433259574,0.586475935768124,0.8631062256919975
pp_main_029,89,0.009626842850106272,0.3812071274398642,-1.0666061730264138,-0.6385828495041995,0.044498308846646684,0.5332681044405585,0.8454675900169494
pp_main_030,89,-0.036625799630488586,0.42407452647662586,-1.021536120691935,-0.6979523591736898,-0.05478325524371999,0.7033521638839924,1.0573682321776587
pp_main_031,89,-0.05880111800421162,0.45800356839825945,-1.110958866530713,-0.8765342575597036,0.009205107264515802,0.6151495690943752,1.1007404616148
pp_main_032,89,-0.017634410082511334,0.43239472237718474,-1.1040064722314489,-0.7936399616421324,-0.021015541136603685,0.6852701048206216,1.012346568190226
pp_main_033,89,-0.07813590681068602,0.3213166045920822,-0.7844764972246362,-0.6584380063255448,-0.1026261390200025,0.48407172477858534,0.8124150616090575
pp_main_034,89,-0.024791745095590383,0.42224549756570906,-1.0536602773988795,-0.5919166183458856,-0.06259591066862591,0.6905388033944814,0.9890719830390429
pp_main_035,89,0.03537861617898555,0.37877364653155715,-0.814654282199743,-0.6299154571225039,0.06049993585358704,0.7228343823484397,1.0058128262823853
pp_upper_001,89,0.012694698438930467,0.3323822401118,-0.8772183853897492,-0.4500892795976057,0.02587272476787679,0.4733716577523111,0.9983029429172818
pp_upper_002,89,0.023244574635330542,0.29093179972088856,-0.8211272999800266,-0.4914393432055296,0.03031997717951576,0.4730485351592453,0.6952332215303635
pp_upper_003,89,0.04916672424128756,0.36264853817813586,-0.7165747897657669,-0.47668386564810156,0.04954742430307617,0.5623153187546635,1.0
pp_upper_004,89,0.05419660229699053,0.3599051026252918,-0.6688456713906356,-0.5640754193018558,0.0556005895591086,0.6568070571629081,0.9127873936566202
pp_upper_005,89,-0.00176164419795284,0.36008768950085696,-1.0,-0.5676533904336435,-0.011412254725344878,0.5739597204436989,0.8049482150685175
pp_upper_006,89,0.0386343405270703,0.27358611962038015,-0.6343332126952688,-0.34791035808980425,0.027519876983604585,0.42925074321992407,0.754065648185132
pp_upper_007,89,-0.004301527232828651,0.3124820445828809,-0.7840900900690356,-0.5527341110340396,0.023992583638131976,0.5111382208707358,0.7715448273134122
pp_upper_008,89,-0.06853092590307884,0.38867925470353687,-1.0,-0.675470174925893,-0.08190380330270483,0.6297497439892937,0.8352569513018685
pp_upper_009,89,-0.03250753303133921,0.29816152215587577,-0.706965878437478,-0.5210646166318776,-0.042459930573247005,0.432530725601025,0.8377379758244442
pp_upper_010,89,-0.07881995550905357,0.3744083565748391,-0.9419467204094781,-0.66037487188482,-0.041754025220838736,0.5763680882378039,0.9319753086304867
pp_upper_011,89,0.026486631188399376,0.32004444486267314,-0.8499837845017949,-0.497024128363976,0.03549314001447235,0.5040026906344544,0.7300123313037035
pp_upper_012,89,0.05939693611739387,0.3512593575263268,-0.8215121634507143,-0.4954196951009432,0.04082713250563424,0.6443608496645395,0.7747897982799804
pp_upper_013,89,-0.029139576733496125,0.35572201171800266,-1.0,-0.594485285981182,-0.0028763711906526716,0.47874161192406683,0.9678841544967807
pp_upper_014,89,-0.005996107830930087,0.34382724146113763,-0.8067037777709836,-0.5769476104062177,-0.020754058849964688,0.614091302447768,0.7899725622496163
pp_upper_015,89,-0.046714360001125686,0.356159060829297,-0.9795196103241677,-0.643978567709191,-0.033079110253422,0.4608352316809401,0.8209498101797253
rch_mult,89,0.9975876711765389,0.11120828361317713,0.7589514976941893,0.817699635528821,1.0075971481232997,1.1687837649281487,1.2693356674920024
riverbedk_mult,89,0.9981401435118435,0.18656693585792403,0.5094920431405869,0.6836044979364243,1.0132603616913078,1.2783583296957233,1.4829700838572635
