parnme,pargp,par_type,parval1,parlbnd,parubnd,sigma,corr_len_m,x_m,y_m,target_layers_csv
pp_main_024,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,4000.0,5600.0,1;2;3;4
pp_main_025,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,5600.0,5600.0,1;2;3;4
pp_main_026,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,7200.0,5600.0,1;2;3;4
pp_main_027,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,8800.0,5600.0,1;2;3;4
pp_main_028,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,10400.0,5600.0,1;2;3;4
pp_main_029,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,800.0,7200.0,1;2;3;4
pp_main_030,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,2400.0,7200.0,1;2;3;4
pp_main_031,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,4000.0,7200.0,1;2;3;4
pp_main_032,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,5600.0,7200.0,1;2;3;4
pp_main_033,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,7200.0,7200.0,1;2;3;4
pp_main_034,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,8800.0,7200.0,1;2;3;4
pp_main_035,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,10400.0,7200.0,1;2;3;4
pp_lower_001,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,1100.0,1100.0,5;6;7
pp_lower_002,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,3300.0,1100.0,5;6;7
pp_lower_003,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,5500.0,1100.0,5;6;7
pp_lower_004,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,7700.0,1100.0,5;6;7
pp_lower_005,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,9900.0,1100.0,5;6;7
pp_lower_006,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,1100.0,3300.0,5;6;7
pp_lower_007,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,3300.0,3300.0,5;6;7
pp_lower_008,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,5500.0,3300.0,5;6;7
pp_lower_009,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,7700.0,3300.0,5;6;7
pp_lower_010,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,9900.0,3300.0,5;6;7
pp_lower_011,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,1100.0,5500.0,5;6;7
pp_lower_012,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,3300.0,5500.0,5;6;7
pp_lower_013,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,5500.0,5500.0,5;6;7
pp_lower_014,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,7700.0,5500.0,5;6;7
pp_lower_015,PP_LOWER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2600.0,9900.0,5500.0,5;6;7
rch_mult,GLOBAL,multiplier,1.0,0.5,1.5,0.15,,,,
ghbcond_mult,GLOBAL,multiplier,1.0,0.5,1.5,0.15,,,,
riverbedk_mult,GLOBAL,multiplier,1.0,0.5,2.0,0.2,,,,
channel_mult,GLOBAL,multiplier,1.0,0.5,2.0,0.2,,,,
backfill_mult,GLOBAL,multiplier,1.0,0.3,3.0,0.25,,,,
