parnme,n_realizations,mean,std,min,p05,p50,p95,max
pp_main_003,42,-0.1170953062458074,0.30925018996109377,-0.8498748428000606,-0.6088946445960772,-0.0674033411500648,0.3509443202463246,0.45345211148938536
pp_main_004,42,-0.12492542839362779,0.3601850956294182,-0.7995077467799362,-0.6772939469211724,-0.14057348136343795,0.4699795480839566,0.7024417108301747
pp_main_005,42,0.08169143566517975,0.2669707094827859,-0.44157959707365435,-0.36278107127581694,0.0874667240912414,0.40270556420956244,0.8476166357725017
pp_main_006,42,-0.049118778144131674,0.2842283792193206,-0.759735496327992,-0.4843520854398595,-0.03094914055018582,0.4024136286889043,0.522711279106032
pp_main_007,42,0.1051519771158065,0.387247008733957,-0.6322131313857277,-0.38414830201191896,0.0017734335813583968,0.7118044201704291,1.08750742233075
pp_main_008,42,-0.04003679234684012,0.3728835905821699,-0.7665747170016494,-0.7200612030826107,-0.02845165360208663,0.5586491044847306,0.7035537457449961
pp_main_009,42,0.000602124078902588,0.289128658729924,-0.5151356726909793,-0.4199058406527717,-0.028800053896254875,0.5047568374895565,0.7390719440672147
pp_main_010,42,-0.10184844803263973,0.28054955036828316,-0.5730575470975993,-0.4274369908922501,-0.13364947913931347,0.3246153898084685,0.6943223513089998
pp_main_011,42,-0.03229351077961683,0.3038431076933332,-0.6514502767297742,-0.45242303338116746,-0.056410658244313586,0.5386417069580464,0.6609057977286994
pp_main_012,42,-0.04370544870222789,0.3367795571163843,-0.6108482636144504,-0.5133805381235026,-0.14320300294783783,0.4575705242802148,0.9326263414439042
pp_main_013,42,0.026311092772945157,0.2938915162998604,-0.6764516316811421,-0.48803237141040906,0.06816089462140679,0.4138163704499659,0.4957534247113746
pp_main_014,42,0.00988612264657478,0.38166984620082217,-0.925668483283607,-0.6443945416433913,0.013089203943609781,0.6975618100100682,0.9288514879013904
pp_main_015,42,-0.18258868619593485,0.2782770149973933,-0.9042707891126938,-0.5620673682740953,-0.22139383979881144,0.26924283336342847,0.46296721610870684
pp_main_016,42,-0.014358845984851674,0.26276680625958826,-0.6958997030503652,-0.3942987257610904,-0.006409325388957655,0.4230629540664358,0.49091857401390815
