scenario,realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
S0_BASE,real_0066,18.787391655136915,1.1385496643596795,22.0,34040.105105732604
S0_BASE,real_0067,29.488527091578103,2.8874011452127206,24.0,67148.84820983426
S0_BASE,real_0068,14.087011499876823,0.8581137843992082,26.0,25326.337145530226
S0_BASE,real_0069,24.916603045236435,8.966250783822481,15.0,82090.8122857495
S0_BASE,real_0070,16.80382499906053,0.9426642452091727,22.0,46497.92460687285
S0_BASE,real_0071,19.55546623427865,1.2466000199278682,33.0,30018.42173118062
S0_BASE,real_0073,15.240346012565265,2.79379614397174,19.0,40542.87026193271
S0_BASE,real_0074,23.905556609281412,5.213423528701298,19.0,59896.23101453857
S0_BASE,real_0075,20.562834932385968,2.223397984631305,21.0,45647.757637563525
S0_BASE,real_0076,22.117767444451342,0.8332056184243015,32.0,32772.305412698275
S0_BASE,real_0077,15.194981848061207,1.06116973196702,20.0,40555.6464475548
S0_BASE,real_0079,18.331773478726777,1.1057884594345992,28.0,30939.578572835646
S0_BASE,real_0080,26.925833765198515,1.802933621327611,30.0,40698.71530523035
S0_BASE,real_0083,25.272243670819506,0.6098262709240103,38.0,30922.794495226794
S0_BASE,real_0084,28.650494849304884,0.8074863520759195,32.0,37898.31732545981
S0_BASE,real_0085,24.58990092132029,2.7911753965817,12.0,74321.5652963
S0_BASE,real_0086,19.684816951190044,0.5551829208975079,56.0,22805.43193874792
S0_BASE,real_0087,11.066091875291889,0.35552005657409325,34.0,15653.799607614656
S0_BASE,real_0088,37.393604825305744,0.8936325890981323,27.0,49821.72542322607
S0_BASE,real_0089,16.42027903096681,1.135135570259898,16.0,45850.9750039561
S0_BASE,real_0090,19.770591624430086,1.8808786656800294,20.0,44383.11821082379
S0_BASE,real_0091,23.190643690140963,1.4075165144708492,24.0,38089.945778842564
S0_BASE,real_0095,26.485485015492618,4.727350742325633,22.0,54482.67216632133
S0_BASE,real_0096,29.04929573667735,0.7639068077894393,52.0,25933.79977190813
S0_BASE,real_0099,18.855028533511753,2.135513934474126,23.0,45748.81792764792
S2_CONN,real_0001,32.835498796664304,2.4285962204764076,24.0,51632.19875957784
S2_CONN,real_0002,30.723749836287716,2.1124577725809175,23.0,60892.35404118172
S2_CONN,real_0003,28.375823897933298,2.4487919327023917,18.0,77518.9446138237
S2_CONN,real_0006,43.93919765184351,5.271229002855783,31.0,69393.46929876303
S2_CONN,real_0008,18.491029407648924,0.7036816050045402,27.0,26095.043540314655
S2_CONN,real_0009,40.423751848768084,2.5795251194059787,36.0,56027.3812618809
S2_CONN,real_0010,17.65663059751957,0.5157367909952271,40.0,23529.44005082902
S2_CONN,real_0011,30.408938601856526,2.1031761045645467,27.0,49320.926181087954
S2_CONN,real_0012,34.37199826345343,1.86898023567408,42.0,35608.166003872386
S2_CONN,real_0014,36.55783843476527,2.7626008943666136,23.0,70328.09539830248
S2_CONN,real_0015,33.71336527176396,2.7760607636866865,30.0,45900.92936132697
S2_CONN,real_0017,28.826806802417288,5.330695348507973,21.0,69423.64946793395
S2_CONN,real_0018,31.229412492142938,2.583473187527943,21.0,64437.31708369183
S2_CONN,real_0019,31.246413364550428,2.2485795405045508,28.0,51687.48939972584
S2_CONN,real_0020,21.4960163566037,0.7742864482021261,22.0,50633.44155216737
S2_CONN,real_0021,31.639415351455753,1.1989543573264356,18.0,77898.64183970561
S2_CONN,real_0026,35.36081032690153,2.2817144734385053,25.0,55197.79873210421
S2_CONN,real_0029,28.440849655761426,1.8917866497397853,33.0,37981.81470420043
S2_CONN,real_0034,38.02884616600977,1.6361760621956165,35.0,43587.266307580074
S2_CONN,real_0035,33.03658005678924,3.6611873551764376,21.0,65854.80945308365
