scenario,forecast,threshold,n,n_exceed,frequency,wilson95_low,wilson95_high
S0_BASE,fcst_stage4_mean_inflow,42500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,43000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,43500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,44000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,44500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,45000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,45500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,46000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,46500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,47000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,47500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,48000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,48500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,49000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,49500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,50000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,50500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,51000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,51500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,52000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,52500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,53000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,53500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,54000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,54500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,55000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,55500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,56000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,56500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,57000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,57500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,58000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,58500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,59000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,59500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,60000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,22.0,58,58,1.0,0.9378821442127971,1.0
S0_BASE,fcst_recovery_years,23.0,58,58,1.0,0.9378821442127971,1.0
S0_BASE,fcst_recovery_years,24.0,58,58,1.0,0.9378821442127971,1.0
S0_BASE,fcst_recovery_years,25.0,58,51,0.8793103448275862,0.7712064595403911,0.9402903395175928
S0_BASE,fcst_recovery_years,26.0,58,31,0.5344827586206896,0.408001750439952,0.6566797767471373
S0_BASE,fcst_recovery_years,27.0,58,12,0.20689655172413793,0.12251483969490558,0.3276921792148341
S0_BASE,fcst_recovery_years,28.0,58,3,0.05172413793103448,0.017746134659410502,0.14139401190842663
S0_BASE,fcst_recovery_years,29.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,30.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,31.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,32.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,33.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,34.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,35.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,36.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,37.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,38.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,39.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,40.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,41.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_recovery_years,42.0,58,0,0.0,0.0,0.062117855787202914
S2_CONN,fcst_max_receptor_dd,1.25,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_receptor_dd,1.3,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_receptor_dd,1.35,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_receptor_dd,1.4,38,37,0.9736842105263158,0.8650512388404787,0.9953394123142312
S2_CONN,fcst_max_receptor_dd,1.45,38,36,0.9473684210526315,0.8271453786822962,0.9854457918527075
S2_CONN,fcst_max_receptor_dd,1.5,38,34,0.8947368421052632,0.7586947827711269,0.9582974265244647
S2_CONN,fcst_max_receptor_dd,1.55,38,32,0.8421052631578947,0.6958318822077686,0.9255613658484106
S2_CONN,fcst_max_receptor_dd,1.6,38,27,0.7105263157894737,0.5524286232424794,0.8299672217151693
S2_CONN,fcst_max_receptor_dd,1.65,38,22,0.5789473684210527,0.42192345343670545,0.7214749884224129
S2_CONN,fcst_max_receptor_dd,1.7,38,13,0.34210526315789475,0.21212415179959412,0.5010789644821693
S2_CONN,fcst_max_receptor_dd,1.75,38,5,0.13157894736842105,0.05753867690120133,0.2732685944229131
S2_CONN,fcst_max_receptor_dd,1.8,38,2,0.05263157894736842,0.014554208147292413,0.17285462131770377
S2_CONN,fcst_max_receptor_dd,1.85,38,1,0.02631578947368421,0.004660587685768783,0.1349487611595213
S2_CONN,fcst_max_receptor_dd,1.9,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,1.95,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.0,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.05,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.1,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.15,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.2,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.25,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.3,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.35,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.4,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.45,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.5,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.55,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.6,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.65,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.7,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_receptor_dd,2.75,38,0,0.0,0.0,0.09180986822558396
S2_CONN,fcst_max_compliance_dd,24.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,24.25,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,24.5,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,24.75,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,25.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,25.25,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,25.5,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,25.75,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,26.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,26.25,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,26.5,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,26.75,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,27.0,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,27.25,38,38,1.0,0.908190131774416,0.9999999999999999
S2_CONN,fcst_max_compliance_dd,27.5,38,38,1.0,0.908190131774416,0.9999999999999999
