parnme,n_realizations,mean,std,min,p05,p50,p95,max
pp_main_022,38,-0.029297244909553963,0.2849589350242096,-0.5992591854850078,-0.5513280809163505,0.032282086610042025,0.43449586244540606,0.6599958928367412
pp_main_023,38,0.12016593645093376,0.2968659337681727,-0.4659959725992331,-0.4390658242666034,0.1540273020453315,0.6168705301317617,0.6398857298965108
pp_main_024,38,0.050379213340649744,0.29808509864264887,-0.6709424275493763,-0.453097266147657,0.07421381171200381,0.47444760372560546,0.7916791650064888
pp_main_025,38,0.08861116909860267,0.26868892106581554,-0.28391461460313755,-0.27169527437493163,0.061002754316861175,0.4978599520528462,0.8170157119883529
pp_main_026,38,0.11029595558576882,0.3144565016496531,-0.47711511514835386,-0.3617181835170721,0.11569898457733549,0.581273660518358,0.8048497958383951
pp_main_027,38,-0.07230265950826904,0.3306902254751979,-0.8193983095255877,-0.585112396501453,0.00021609963227573088,0.4185396771798021,0.548320712524277
pp_main_028,38,0.05323276066407747,0.26744864455371137,-0.6674606979160268,-0.3553163176556955,0.028602737363441846,0.484911339799192,0.6456895755441608
pp_main_029,38,-0.05071371337750873,0.28283110059527633,-0.6888622282520435,-0.5025748030474089,0.008328314019997063,0.32113143509571884,0.4123777098642481
pp_main_030,38,-0.09397561178368663,0.29958264597083817,-0.8548253036789003,-0.5303041231091817,-0.0611967187884258,0.3004953144053104,0.6179426352148053
pp_main_031,38,0.08430152489354165,0.3328209949039028,-0.6385234808700445,-0.45571265129356336,0.05796421851482843,0.6376265766983417,0.8309626568139727
pp_main_032,38,0.06791156701067998,0.3355728335939264,-0.6958882105691553,-0.6305141722359563,0.10617485870251238,0.4622083692436798,1.0003213151497625
pp_main_033,38,-0.0455669263919733,0.26806943010084716,-0.57631731364605,-0.5092459794804177,-0.04325655176553139,0.5172788942244211,0.5399786019690965
pp_main_034,38,-0.053235809491472746,0.3155159062136982,-0.7410460629895492,-0.5342339182516435,-0.05969972499999058,0.4586169599195533,0.7214020485065318
pp_main_035,38,0.14465944682442078,0.2683475873994985,-0.38341529896332577,-0.22593818407724317,0.10597667742011999,0.743026514660742,0.8193831424341919
pp_upper_001,38,0.06642611622115047,0.2850976135271882,-0.6177216938945916,-0.3790798220909377,0.10062365518623059,0.4514596917828482,1.0
pp_upper_002,38,0.024398943984353914,0.2511680116932534,-0.5408124410913434,-0.48406457185848,0.10479860095365691,0.312450960144886,0.38893751161530443
pp_upper_003,38,0.06056736582857964,0.3166794947614323,-0.5092492336451512,-0.3379451264528474,0.03167627385095709,0.5161948479528023,1.0
pp_upper_004,38,0.10052963532733461,0.26819929395785247,-0.36063744575870743,-0.312535022231304,0.11602837656288867,0.5907887427608767,0.6230651720424102
pp_upper_005,38,0.011246373972753347,0.31233270235616284,-0.8496860795959051,-0.4021329803782031,-0.01016868518150469,0.4525748129734238,0.6385417558364147
pp_upper_006,38,0.028768081147700287,0.2678059203392761,-0.5718631620569654,-0.36942260858769266,0.032451972939793544,0.40687010317510086,0.567371204006908
pp_upper_007,38,-0.00456982684750327,0.33758488192573544,-0.7481847068401913,-0.5460829654931348,-0.008701988227690041,0.5531527662015694,0.8486150369850588
pp_upper_008,38,0.060517229886612005,0.29443843276744547,-0.6598913399684573,-0.293560989212176,0.08430027508354153,0.40082489923658965,0.85381784020329
pp_upper_009,38,0.09812033586817788,0.18423119958854106,-0.2213279802080756,-0.17448805675724527,0.09577089032865034,0.3914823685742206,0.6545803292918825
pp_upper_010,38,0.020644314558247282,0.30737238167214137,-0.5144164469793402,-0.37819735461962817,0.03700963812665351,0.5553099025987656,0.8249223312250775
pp_upper_011,38,0.08982316313564502,0.29349822223792216,-0.6147768557015595,-0.34484049233971226,0.04666228072672979,0.5969014986610017,0.8035820527509968
pp_upper_012,38,0.11826655866773617,0.31821736334063555,-0.597525090816505,-0.41006264619523647,0.0813413434550225,0.6733980342577227,0.8194756371149199
pp_upper_013,38,0.044248243782051964,0.3432743548170027,-0.6430373777382188,-0.5080730223794553,0.046165973258528475,0.6931902462007533,0.7993833877326508
pp_upper_014,38,0.1624858947963588,0.2501931030023001,-0.4986952972612062,-0.27122091230731044,0.15270817305185952,0.5267490805755949,0.7612336684769716
pp_upper_015,38,0.09616678644388096,0.3320081943446659,-0.9780793238861132,-0.3536232673746811,0.12565317311182536,0.6081305291746634,0.6966969220792861
rch_mult,38,1.01625049232029,0.09850735162862748,0.7594108894798665,0.8668934512087528,1.0200683246959645,1.1837739887054766,1.2009486612765978
riverbedk_mult,38,0.9004337002114743,0.13326748721733941,0.5975441873319208,0.649954361209861,0.8943076798167224,1.0835782266890523,1.1693804071788785
