,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow,h_compliance_005y,h_compliance_010y,h_compliance_015y,h_compliance_020y,h_compliance_025y,h_compliance_050y,h_compliance_120y,h_landholder_020y,h_landholder_120y,h_receptor_005y,h_receptor_010y,h_receptor_020y,h_receptor_050y,h_receptor_120y,q_mineinflow_005y,q_mineinflow_010y,q_mineinflow_015y,q_mineinflow_020y
real_0049,21.790962673418644,1.292000614081111,28.0,37744.47495673619,40.482112747508666,31.02599711753724,23.760045043150264,23.008350702396104,35.29071934921981,44.010326362372915,44.69962538601149,40.48022810288687,41.73126089941166,41.552120892676406,41.07578151180784,40.45807293677624,41.670449477606496,41.745239650108076,12640.123032410072,32459.539468733616,41217.2233858947,37055.03829458617
real_0054,21.620000535650334,1.1192549278840644,25.0,37628.55970017292,40.48252671538049,31.05802517587628,23.653364323616255,23.05150736414346,35.25091139585946,44.08731962355889,44.58107687718183,40.401045858601044,41.64826664411989,41.51398677682572,41.097996432852646,40.55947204991684,41.63210625530005,41.67523107071985,12438.117705478038,32527.76326199893,41471.31099877486,37090.04420815811
real_0057,21.782756145422024,0.7963642995939324,27.0,35235.26862111355,40.54621451068528,31.095138114413544,23.768815533746228,23.12572785893118,35.18619478559506,44.173021795279865,44.792012578790484,40.664558630222004,41.629913165844854,41.522022222424056,41.232998253591006,40.84342335252708,41.59362251558873,41.636219070800415,12065.322691897496,30648.357012563145,38863.20240181911,34716.832448858906
real_0060,21.76150920544242,1.122460558606761,26.0,38261.553043633365,40.40393875609645,30.938313281908382,23.8362179319144,23.008787982686737,35.15175899512399,44.082806012506644,44.66066221191124,40.387753310045376,41.66885038849993,41.517162727316055,41.10311967315038,40.563415304307135,41.62559412905055,41.68142919823691,12803.978097462688,32250.600423560598,40566.000217523964,37396.82051757818
real_0061,21.84588393016627,1.2692820548193993,28.0,36472.63176692246,40.51052923142864,31.082322062177212,23.910828479150414,23.04059294415472,35.38216097915019,44.104080418781656,44.743415361290744,40.51957086168881,41.630475134342085,41.51124938848393,41.04393797451065,40.435602954977774,41.62994654626011,41.69767442572401,11989.42187474665,30420.517123003563,38807.21821955332,35788.53045207697
real_0062,21.743729979891107,1.2011123107768213,28.0,37383.857000721284,40.384021099407384,30.981457380293268,23.837015506748365,23.06896495227047,35.18049049561917,43.99491763330242,44.654377977065195,40.41249907226233,41.63619011474061,41.518690263102684,41.078362029010826,40.49925073692525,41.62290820266383,41.69252697003082,12763.165989060455,31953.838024775985,40436.34602926118,36806.43357247992
real_0063,21.64224054049108,1.1271786130574313,26.0,38392.995811883135,40.443723875078696,31.19446741879148,23.896679137945775,23.033625069589057,35.35021385258892,44.02971071190771,44.565994075098494,40.340252060111595,41.677157977760004,41.51668710292536,41.109082903263634,40.55375833544034,41.62662799522876,41.67628891794826,12578.55795857573,32438.14802525118,41520.72389191075,37683.88903114927
real_0064,21.620093327543337,1.2151723981135802,28.0,36655.65825345495,40.4805685065515,31.0346047763432,23.714914757686646,23.110546756609196,35.31913669537667,43.922790786353595,44.632291209539616,40.43352783325476,41.69441202797602,41.53587360579813,41.09885211247203,40.49868180004846,41.64131847523688,41.70947771327939,12414.091381272274,32285.249979521202,40688.978955559345,36057.43967443378
real_0065,21.75374856028504,1.0188048897337012,26.0,38025.73600880926,40.369791599669924,31.074895038853825,23.897558504513558,22.947235887239387,35.26579224415141,44.02577627685814,44.55751805530886,40.4573222065205,41.61466284226487,41.49590918859613,41.129871359949,40.62922139936713,41.59841091359306,41.64237187271333,12703.10704665098,31954.943337808465,40525.99479091046,37245.244486985364
real_0066,21.689532413871444,1.136065543108046,26.0,37054.54353069575,40.41667266495341,31.087855976964015,23.746395593655283,23.023017665260515,35.26887342668064,44.048028727586754,44.59966700641181,40.43485491897784,41.65336966599405,41.520902139488314,41.132225676031915,40.54768071940263,41.6277584614176,41.67914626065221,12668.197988458962,32311.580514478504,41001.30085189681,36519.08874718993
real_0067,21.671457156502505,1.142306426308373,26.0,37774.33263413901,40.40259613112815,30.971349814133905,23.73455301778593,23.017800172851672,35.17514599851449,44.02180072697586,44.57290291451897,40.38933310867016,41.63987857526451,41.503842800199386,41.08345692184698,40.52796164685325,41.614724618674046,41.665632602246525,12711.591187802234,32669.63328763804,41335.67904250501,37174.11129290158
