iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
2,289,real_0002,real_0002,0,0,0,0,1.32759,0.125751,0.0483144,0.0859945
2,289,real_0004,real_0004,0,0,0,0,1.88746,0.000107531,0.00718639,0.175065
2,289,real_0006,real_0006,0,0,0,0,0.557261,0.0627109,0.0325934,0.124255
2,289,real_0008,real_0008,0,0,0,0,2.8655,0.427663,0.0223946,0.674593
2,289,real_0009,real_0009,0,0,0,0,3.96882,0.0170387,0.0789869,0.0370233
2,289,real_0010,real_0010,0,0,0,0,0.844316,0.347737,0.0677002,0.106374
2,289,real_0011,real_0011,0,0,0,0,0.586267,0.260061,0.0213521,0.0450238
2,289,real_0012,real_0012,0,0,0,0,3.30053,0.0898352,0.0830061,1.46774
2,289,real_0018,real_0018,0,0,0,0,0.422438,0.280438,0.0181646,0.00118342
2,289,real_0019,real_0019,0,0,0,0,0.595235,0.0171817,0.13323,0.0486311
2,289,real_0020,real_0020,0,0,0,0,0.599642,1.39914,0.612381,0.622273
2,289,real_0021,real_0021,0,0,0,0,0.970773,0.0266729,0.0966896,0.507446
2,289,real_0022,real_0022,0,0,0,0,1.19561,0.192491,0.0855853,0.0132921
2,289,real_0023,real_0023,0,0,0,0,7.24615,0.014351,0.00208114,0.253458
2,289,real_0026,real_0026,0,0,0,0,1.55477,0.0662801,0.0549319,0.67208
2,289,real_0028,real_0028,0,0,0,0,0.922331,0.630129,1.37737,0.0763125
2,289,real_0029,real_0029,0,0,0,0,1.27147,0.0079526,0.14448,1.51428
2,289,real_0030,real_0030,0,0,0,0,1.99089,0.0231585,0.779406,0.0941008
2,289,real_0031,real_0031,0,0,0,0,1.23654,0.0851165,0.144694,1.64518
2,289,real_0032,real_0032,0,0,0,0,0.290172,0.0804185,0.104366,0.0355766
2,289,real_0034,real_0034,0,0,0,0,0.217847,0.0967817,0.0577731,0.111082
2,289,real_0035,real_0035,0,0,0,0,0.305975,0.00719436,0.396214,0.355746
2,289,real_0036,real_0036,0,0,0,0,1.64434,0.515873,0.049343,0.228191
2,289,real_0038,real_0038,0,0,0,0,0.149637,0.0215033,0.0202223,0.0204167
2,289,real_0039,real_0039,0,0,0,0,2.47452,0.239386,0.0188892,0.360648
2,289,real_0040,real_0040,0,0,0,0,1.01268,0.380235,0.0776375,0.0767858
2,289,real_0044,real_0044,0,0,0,0,0.608217,0.0374048,0.174375,0.0581478
2,289,real_0046,real_0046,0,0,0,0,0.287731,0.593765,0.00315287,0.0458733
2,289,real_0047,real_0047,0,0,0,0,2.93731,0.020658,0.0385384,0.19881
2,289,real_0049,real_0049,0,0,0,0,0.251628,0.13753,0.289048,0.00783711
2,289,real_0054,real_0054,0,0,0,0,0.474964,0.0149556,0.00680766,0.0268201
2,289,real_0057,real_0057,0,0,0,0,2.14424,1.5966,2.35808,1.45265
2,289,real_0060,real_0060,0,0,0,0,1.26997,0.00976495,0.00629249,0.0402325
2,289,real_0061,real_0061,0,0,0,0,1.60075,0.289076,0.252885,1.19935
2,289,real_0062,real_0062,0,0,0,0,0.531681,0.0295255,0.0981357,0.0767461
2,289,real_0063,real_0063,0,0,0,0,1.34152,0.0837611,0.0090589,0.0380089
2,289,real_0064,real_0064,0,0,0,0,0.657845,0.0164627,0.072768,0.171912
2,289,real_0065,real_0065,0,0,0,0,0.526043,0.135084,0.234261,0.0381939
2,289,real_0066,real_0066,0,0,0,0,0.0926623,0.0263297,0.0169204,0.0508438
